name,model_name,price,description,stock,delivery_days,is_active,is_available,image_url
"سيناكالسيت 90 مجم 10 أقراص","Pharmacy","535","أقراص تحتوي على سيناكالسيت 90 مجم يستخدم في علاج فرط كالسيوم الدم عند البالغين المصابين بفرط جارات الدرقية الأولي وعلاج فرط جارات الدرقية الثانوي عند المصابين بمرض الكلى المزمن.",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/111707-1726670976.jpg"
"أوسبين 1 مليون وحدة دولية 12 قرص","Pharmacy","24","أقراص تحتوي على فينوكسي ميثيل بنسلين 1 مليون وحدة دولية يستخدم كمضاد حيوي لعلاج الالتهابات مثل التهابات الصدر ، التهاب اللوزتين ، التهاب النسيج الخلوي ، التهابات الأذن وخراجات الأسنان.",100,2,TRUE,TRUE,""
"بورجاليندرو محلول بالفم 75 مل","Pharmacy","18","شراب يحتوى على أليندرونات 70 مجم يستخدم لعلاج هشاشة العظام عند الإناث بعد سن اليأس وزيادة كتلة العظام عند الذكور المصابين بهشاشة العظام.",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/93990-1.jpg"
"إيموفيت كريم 15 جم","Pharmacy","12.75","كريم يحتوي على كلوبيتازون بيوتيرات 0.05٪ \"الكورتيكوستيرويد الموضعي\" كمضاد موضعي للالتهابات ومضاد للحساسية في علاج الأكزيما.",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/104640.jpg"
"اميوتريكسات 5 مجم 10 أقراص","Pharmacy","60","أقراص تحتوي على ميثوتريكسات 5 مجم عامل مضاد الأورام ، مضاد للروماتيزم وعامل مثبط للمناعة له استخدامات الأورام في علاج بعض حالات السرطان المحددة ، وعلاج التهاب المفاصل النشط مجهول السبب في الأحداث ، والسيطرة على أعراض الصدفية الشديدة وإدارة التهاب المفاصل الروماتويدي الحاد والنشط.",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/114752-1728816496.jpg"
"فيلاتريبلو 100 / 62.5 / 25 مكجم كبسولات استنشاق 6 شرائط","Pharmacy","392","مسحوق للاستنشاق عن طريق الفم داخل كبسولات صلبة. تتكون العلبة من 6 شرائط، 3 شرائط تحتوي على فلوتيكازون فيوريت 100 مكجم، و 3 شرائط تحتوي على مزيج من الأوميكليدينيوم 62.5 مكجم، و الفيلانتيرول 25 مكجم، يعمل كموسع للشعب الهوائية ويستخدم لعلاج الربو ومرض الانسداد الرئوي المزمن (COPD).",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/124319-1729607799.jpg"
"سفترياكسون 1000 مجم فيال للحقن العضلي","Pharmacy","95","* مطلوب عمل اختبار حساسية * فيال تحتوي على سيفترياكسون 1 جم (مضاد حيوي من الجيل الثالث للسيفالوسبورين) يستخدم للحقن العضلي لعلاج عدوى مجرى الدم البكتيري، التهابات العظام والمفاصل البكتيري، التهابات الجهاز التنفسي السفلي، الالتهاب الرئوي، التهاب السحايا البكتيري، وأمراض التهاب الحوض.",100,2,TRUE,TRUE,""
"دوليبران 1000 مجم 20 قرص","Pharmacy","60","أقراص مسكنة ومضادة للحرارة تحتوي على باراسيتامول 1000 مجم.",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/128783-1734188567.jpg"
"امبيزيم-ج 30 قرص","Pharmacy","102","أقراص مغلفة تحتوي على كيموتربسين وتريبسين يستخدم كمضاد للالتهابات و مضاد للوذمات.",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/3210-1.jpg"
"اوجمنتين 1 جم 14 قرص","Pharmacy","210","أقراص تحتوي على أموكسيسيلين 875 مجم وحمض الكلافيولنيك 125 مجم يستخدم كمضاد حيوي لعلاج التهاب الأذن الوسطى الناتج عن العدوى البكتيرية التهاب الجيوب الأنفية البكتيري الحاد وعلاج التهابات الجلد والتهابات المسالك البولية البكتيري.",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/99877-1706201506.jpg"
"انسولين مكستارد 30 اتش ام 100 و.د فيال 10 مل","Pharmacy","130","محلول للحقن تحت الجلد تحتوي على إنسولين بشري 30٪ + أنسولين إيزوفان بروتامين بشري 70٪ يستخدم لعلاج مرض السكري من النوعين 1 و 2 لتحسين السيطرة على نسبة السكر في الدم.",100,2,TRUE,TRUE,""
"سيفوتاكس 1 جم فيال للحقن العضلي او الوريدي","Pharmacy","43","* مطلوب عمل اختبار حساسية * فيال تحتوي على سيفوتاكسيم 1جم (مضاد حيوي من الجيل الثالث للسيفالوسبورين) تستخدم لعلاج تسمم الدم ، عدوى العظام أو المفاصل البكتيري ، العدوى البكتيرية للجهاز العصبي المركزي ، العدوى البكتيرية للجهاز البولي التناسلي ، العدوى البكتيرية للجهاز التناسلي للمرأة ، العدوى البكتيرية داخل البطن ، العدوى البكتيرية للجهاز التنفسي السفلي ، والتهابات الجلد. الوقاية الجراحية: تقليل حدوث إصابات معينة في المرضى الذين يخضعون لإجراءات جراحية",100,2,TRUE,TRUE,""
"سيتال 250 مجم / 5 مل معلق للشرب 60 مل","Pharmacy","31","معلق عن طريق الفم يحتوي على باراسيتامول 250 مجم / 5 مل يستخدم كمسكن وخافض للحرارة.",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/25301-(2).jpg"
"لزقة النمر 1 قطعة","Pharmacy","17","لزقة الكابسكم \" الشطة \" تنشط حرارة الجسم للمساعدة على التخلص من الالام.",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/21387-(1).jpg"
"أوبليكس إن شراب 125 مل","Pharmacy","31","شراب يحتوي على جوافينيسين, أوكساميمازين و بنزوات الصوديوم يستخدم كمهدئ للكحة.",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/107765-1728817555.jpg"
"سيدوفاج 500 مجم 10 أقراص","Pharmacy","11","أقراص تحتوي على ميتفورمين هيدروكلوريد 500 مجم يستخدم لعلاج مرض السكري من النوع الثاني.",100,2,TRUE,TRUE,""
"الفينترن 30 قرص","Pharmacy","87","أقراص مغلفة تحتوي على 14 ميكرو كاتال كيموتربسين و 5 ميكرو كاتال تريبسين يستخدم كمضاد للالتهابات ومضاد للوذمات.",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/124427-1751210971.jpg"
"كونترولوك 40 مجم 14 قرص","Pharmacy","188","أقراص مغلفة تحتوي على بانتوبرازول 40 مجم \"مثبط مضخة البروتون\" تُستخدم لعلاج قرحة المعدة، الارتِجاع المَعدي المَريئي، التهاب المريء التآكلي، و القضاء على جرثومة المعدة.",100,2,TRUE,TRUE,""
"بنادول ادفانس 500 مجم 48 قرص","Pharmacy","92","اقراص تحتوي على باراسيتامول 500 مجم يستخدم كمسكن لتخفيف الآلام الخفيفة أو المتوسطة ، مثل الصداع وآلام الأسنان ، و ايضا خافض للحرارة التي تسببها أمراض مثل نزلات البرد والإنفلونزا .",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/117941-1731939830.jpg"
"أوتريفين 0.1% نقط للأنف للكبار 15 مل","Pharmacy","24","قطرة الأنف تحتوي على زيلوميتازولين هيدروكلوريد 0.1٪ مزيل احتقان موضعي للأنف يستخدم في حالة نزلات البرد والأنفلونزا.",100,2,TRUE,TRUE,"https://cdn.supercommerce.io/tarshouby/uploads/28973-1.JPG"
"صوديوم كلورايد 0.9% 500 مل بكاب (اتسوكا)","Pharmacy","26","محلول للتسريب في الوريد تحتوي على كلوريد الصوديوم 0.9٪ تستخدم لتعويض سوائل الجسم والأملاح المفقودة.",100,2,TRUE,TRUE,""
"صوديوم كلورايد 0.9% 500 مل بكاب (الفتح فارما)","Pharmacy","26","محلول للتنقيط الوريدي يحتوي على كلوريد الصوديوم 0.9٪ يستخدم لتعويض سوائل الجسم والأملاح المفقودة.",100,2,TRUE,TRUE,""
"صوديوم كلورايد 0.9% محلول وريدي بالكاب 500 مل (انترا فارم)","Pharmacy","29.5","محلول للتسريب في الوريد تحتوي على كلوريد الصوديوم 0.9٪ تستخدم لتعويض سوائل الجسم والأملاح المفقودة.",100,2,TRUE,TRUE,""
"ماء مقطر 50 مل","Pharmacy","2","ماء مقطر نقي لحل أدوية الشرب. ممنوع استخدامه لحل الحقن.",100,2,TRUE,TRUE,""
